City,Cloudiness,Country,Date,Humidity,Lat.,Long.,Max Temp,Wind Speed
mataura,98.0,NZ,1635111088.0,74.0,-46.1927,168.8643,59.34,3.2
huarmey,5.0,PE,1635111089.0,74.0,-10.0681,-78.1522,67.57,10.38
mount gambier,90.0,AU,1635111041.0,71.0,-37.8333,140.7667,49.91,5.75
kapaa,75.0,US,1635111089.0,74.0,22.0752,-159.319,82.72,5.01
albany,99.0,US,1635110807.0,66.0,42.6001,-73.9662,55.67,3.49
hobart,90.0,AU,1635110517.0,73.0,-42.8794,147.3294,50.02,4.0
ushuaia,75.0,AR,1635111090.0,64.0,-54.8,-68.3,35.26,26.46
kuusankoski,90.0,FI,1635111091.0,99.0,60.907,26.6244,36.41,3.0
port-gentil,75.0,GA,1635111091.0,83.0,-0.7193,8.7815,80.56,8.05
richards bay,55.0,ZA,1635110791.0,76.0,-28.783,32.0377,61.11,3.31
vaini,20.0,TO,1635110858.0,73.0,-21.2,-175.2,78.96,12.66
mamallapuram,100.0,IN,1635111092.0,79.0,12.6264,80.1722,78.85,6.69
katsuura,84.0,JP,1635110737.0,58.0,35.1333,140.3,55.51,7.23
thompson,90.0,CA,1635110725.0,80.0,55.7435,-97.8558,32.16,2.3
hermanus,0.0,ZA,1635110792.0,71.0,-34.4187,19.2345,57.9,8.9
hilo,64.0,US,1635110812.0,87.0,19.7297,-155.09,82.27,1.99
dikson,100.0,RU,1635110833.0,87.0,73.5069,80.5464,8.91,18.66
berlevag,40.0,NO,1635111094.0,86.0,70.8578,29.0864,26.55,10.36
orlik,87.0,RU,1635111094.0,87.0,52.5178,99.825,26.76,3.29
cabra,2.0,ES,1635111095.0,63.0,37.4725,-4.4421,64.4,4.0
jamestown,90.0,US,1635110549.0,97.0,42.097,-79.2353,51.12,1.01
touros,35.0,BR,1635110793.0,74.0,-5.1989,-35.4608,81.5,13.96
tuy hoa,100.0,VN,1635111054.0,91.0,13.0833,109.3,76.84,14.88
hithadhoo,59.0,MV,1635110786.0,75.0,-0.6,73.0833,82.09,15.19
saint george,1.0,US,1635110826.0,32.0,37.1041,-113.5841,75.67,1.01
henties bay,0.0,NA,1635111096.0,90.0,-22.116,14.2845,59.86,3.94
shubarshi,98.0,KZ,1635111097.0,40.0,48.5872,57.1869,48.15,7.87
bluff,94.0,NZ,1635110782.0,91.0,-46.6,168.3333,53.69,5.03
viedma,26.0,AR,1635111024.0,20.0,-40.8135,-62.9967,78.76,25.52
tasiilaq,100.0,GL,1635110602.0,92.0,65.6145,-37.6368,30.36,33.58
rikitea,28.0,PF,1635110795.0,74.0,-23.1203,-134.9692,74.79,16.96
rocha,1.0,UY,1635110909.0,61.0,-34.4833,-54.3333,63.1,8.19
busselton,100.0,AU,1635110772.0,80.0,-33.65,115.3333,56.05,11.52
cape town,0.0,ZA,1635110717.0,67.0,-33.9258,18.4232,60.28,4.0
bandar,99.0,ID,1635111098.0,96.0,2.05,99.75,71.85,2.15
palembang,87.0,ID,1635111099.0,94.0,-2.9167,104.7458,75.65,2.26
punta arenas,75.0,CL,1635110768.0,36.0,-53.15,-70.9167,46.51,33.38
geraldton,75.0,AU,1635110815.0,88.0,-28.7667,114.6,64.13,0.0
yellowknife,75.0,CA,1635111025.0,84.0,62.456,-114.3525,42.42,19.57
port elizabeth,40.0,ZA,1635111100.0,87.0,-33.918,25.5701,54.1,2.3
navrongo,54.0,GH,1635111100.0,59.0,10.8956,-1.0921,81.34,2.3
kaitangata,100.0,NZ,1635110784.0,78.0,-46.2817,169.8464,56.03,1.45
sitka,40.0,US,1635110827.0,62.0,57.0531,-135.33,49.89,0.0
qaanaaq,0.0,GL,1635110770.0,60.0,77.484,-69.3632,-4.49,12.28
barrow,90.0,US,1635111101.0,86.0,71.2906,-156.7887,26.62,4.61
lata,0.0,PT,1635110819.0,75.0,40.1629,-8.3327,59.81,1.12
upernavik,92.0,GL,1635110792.0,67.0,72.7868,-56.1549,16.27,8.55
carnarvon,40.0,AU,1635110653.0,73.0,-24.8667,113.6333,68.07,13.8
kharovsk,11.0,RU,1635111103.0,95.0,59.9642,40.1912,26.26,5.35
new norfolk,99.0,AU,1635110824.0,62.0,-42.7826,147.0587,50.67,3.0
arraial do cabo,75.0,BR,1635110729.0,83.0,-22.9661,-42.0278,75.06,5.75
goderich,95.0,CA,1635110925.0,66.0,43.7501,-81.7165,52.92,2.3
dhidhdhoo,77.0,MV,1635111104.0,78.0,6.8833,73.1,81.79,11.36
seminole,1.0,US,1635111104.0,87.0,28.7086,-81.2081,81.27,6.91
kontagora,40.0,NG,1635110911.0,78.0,10.3999,5.4695,75.36,2.64
mar del plata,0.0,AR,1635110763.0,30.0,-38.0023,-57.5575,68.02,17.27
chuy,0.0,UY,1635110629.0,57.0,-33.6971,-53.4616,65.64,8.99
urucara,94.0,BR,1635111105.0,78.0,-2.5364,-57.76,81.23,2.71
bonthe,100.0,SL,1635111106.0,86.0,7.5264,-12.505,78.22,5.3
saint-philippe,45.0,RE,1635110777.0,84.0,-21.3585,55.7679,74.48,16.69
cidreira,0.0,BR,1635110821.0,58.0,-30.1811,-50.2056,65.75,8.86
bambous virieux,40.0,MU,1635110833.0,78.0,-20.3428,57.7575,74.21,11.5
carnduff,100.0,CA,1635111107.0,97.0,49.1667,-101.8009,38.37,11.79
kristiinankaupunki,100.0,FI,1635111056.0,94.0,62.2743,21.376,46.35,16.02
georgetown,20.0,MY,1635111108.0,94.0,5.4112,100.3354,77.9,3.0
leshukonskoye,34.0,RU,1635111020.0,90.0,64.8989,45.7622,24.82,8.95
lethem,57.0,GY,1635111109.0,66.0,3.3803,-59.7968,84.4,5.66
acapulco,90.0,MX,1635111048.0,94.0,16.8634,-99.8901,75.02,12.66
bowen,12.0,AU,1635111109.0,64.0,-20.0167,148.2333,71.82,4.25
san juan,0.0,AR,1635111040.0,11.0,-31.5375,-68.5364,85.01,3.18
port alfred,64.0,ZA,1635111017.0,75.0,-33.5906,26.891,60.24,11.74
tiksi,100.0,RU,1635110801.0,100.0,71.6872,128.8694,0.37,4.72
cherskiy,29.0,RU,1635111110.0,99.0,68.75,161.3,-15.03,5.03
ahipara,9.0,NZ,1635110775.0,77.0,-35.1667,173.1667,64.0,3.13
hambantota,40.0,LK,1635111111.0,94.0,6.1241,81.1185,79.14,4.61
kuytun,100.0,RU,1635111086.0,75.0,54.3419,101.5036,39.13,13.35
ambunti,96.0,PG,1635111112.0,96.0,-4.2365,142.8448,75.88,0.87
ixtapa,75.0,MX,1635111112.0,74.0,20.7,-105.2,86.23,11.5
tuktoyaktuk,75.0,CA,1635110822.0,93.0,69.4541,-133.0374,30.2,3.44
kuhdasht,0.0,IR,1635111113.0,23.0,33.535,47.6061,53.65,3.36
nuuk,0.0,GL,1635111058.0,50.0,64.1835,-51.7216,27.21,9.22
ribeira grande,5.0,PT,1635110920.0,71.0,38.5167,-28.7,66.58,8.99
sao joao da barra,90.0,BR,1635110771.0,91.0,-21.6403,-41.0511,78.89,12.48
balezino,100.0,RU,1635111114.0,93.0,57.9796,53.0106,36.77,6.76
shelopugino,54.0,RU,1635111114.0,81.0,51.6514,117.5599,28.38,4.54
ayr,20.0,GB,1635111115.0,87.0,55.4627,-4.6339,54.32,10.36
camopi,68.0,GF,1635111115.0,96.0,3.1655,-52.3158,75.13,3.85
nizhniy kuranakh,100.0,RU,1635111115.0,82.0,58.8353,125.4869,33.98,9.08
avarua,75.0,CK,1635110779.0,61.0,-21.2078,-159.775,77.05,12.66
butaritari,48.0,KI,1635111116.0,72.0,3.0707,172.7902,81.48,3.24
nome,90.0,US,1635110855.0,86.0,64.5011,-165.4064,32.07,5.75
vila velha,40.0,BR,1635111122.0,78.0,-20.3297,-40.2925,80.55,18.41
warmbad,0.0,NA,1635111122.0,23.0,-28.45,18.7333,65.57,12.53
los llanos de aridane,75.0,ES,1635110793.0,88.0,28.6585,-17.9182,69.55,8.05
khatanga,83.0,RU,1635110660.0,90.0,71.9667,102.5,0.34,16.67
chapais,96.0,CA,1635111033.0,77.0,49.7834,-74.8492,42.58,4.05
codrington,100.0,AU,1635110618.0,66.0,-38.2667,141.9667,50.7,9.66
semporna,100.0,MY,1635111124.0,84.0,4.4818,118.6112,73.6,1.97
cabo san lucas,20.0,MX,1635111046.0,57.0,22.8909,-109.9124,89.62,17.27
auriflama,100.0,BR,1635111125.0,87.0,-20.6856,-50.5547,69.04,3.11
pitimbu,46.0,BR,1635111125.0,73.0,-7.4706,-34.8086,81.19,8.68
mnogovershinnyy,71.0,RU,1635111126.0,88.0,53.9353,139.9242,29.75,4.63
mattru,100.0,SL,1635111126.0,96.0,7.6244,-11.8332,74.68,2.68
wanning,99.0,CN,1635111126.0,82.0,18.8003,110.3967,71.1,9.66
namibe,0.0,AO,1635111058.0,84.0,-15.1961,12.1522,63.81,4.03
siniscola,100.0,IT,1635111127.0,88.0,40.5719,9.6922,60.35,7.02
castro,92.0,BR,1635110814.0,91.0,-24.7911,-50.0119,61.21,4.45
kavieng,65.0,PG,1635110603.0,73.0,-2.5744,150.7967,82.99,11.68
ilo,9.0,PE,1635110832.0,76.0,-17.6394,-71.3375,62.35,5.64
bardiyah,99.0,LY,1635111128.0,64.0,31.7561,25.0865,71.35,6.17
chokurdakh,100.0,RU,1635111129.0,99.0,70.6333,147.9167,-5.1,2.48
opuwo,3.0,NA,1635111130.0,24.0,-18.0607,13.84,68.99,7.78
kasongo-lunda,55.0,CD,1635111130.0,96.0,-6.4667,16.8167,70.61,0.58
chernyshevskiy,100.0,RU,1635111047.0,98.0,63.0128,112.4714,31.84,6.87
plonsk,85.0,PL,1635111131.0,82.0,52.6235,20.3755,42.01,7.29
faanui,100.0,PF,1635110752.0,87.0,-16.4833,-151.75,76.51,13.27
grindavik,90.0,IS,1635110842.0,100.0,63.8424,-22.4338,45.07,4.61
shache,20.0,CN,1635111132.0,40.0,38.4167,77.2406,45.28,2.48
pychas,100.0,RU,1635111133.0,79.0,56.5033,52.4409,38.05,7.2
quelimane,3.0,MZ,1635111133.0,87.0,-17.8786,36.8883,77.25,8.63
airai,97.0,TL,1635110747.0,83.0,-8.9266,125.4092,61.0,1.23
zasheyek,64.0,RU,1635111134.0,90.0,67.4066,32.5499,19.9,4.09
esperance,100.0,AU,1635110931.0,39.0,-33.8667,121.9,67.84,10.45
cape coast,34.0,GH,1635111135.0,86.0,5.1053,-1.2466,78.3,6.06
souillac,40.0,MU,1635110819.0,78.0,-20.5167,57.5167,74.35,11.5
solnechnyy,7.0,RU,1635111135.0,88.0,50.7214,136.6319,32.54,3.83
kamaishi,35.0,JP,1635111136.0,72.0,39.2667,141.8833,53.37,4.63
okha,27.0,RU,1635110949.0,93.0,53.5739,142.9478,34.75,11.77
puerto ayora,100.0,EC,1635110807.0,86.0,-0.7393,-90.3518,82.36,10.29
umm kaddadah,5.0,SD,1635111137.0,20.0,13.6017,26.6876,84.83,16.26
poltavka,91.0,RU,1635111137.0,46.0,54.3663,71.7632,47.46,17.38
ostrovnoy,56.0,RU,1635111137.0,73.0,68.0531,39.5131,34.39,21.72
arthur,67.0,US,1635111138.0,71.0,39.7148,-88.4723,73.76,18.75
bengkulu,100.0,ID,1635110931.0,89.0,-3.8004,102.2655,75.43,5.86
lebu,12.0,CL,1635111053.0,85.0,-37.6167,-73.65,55.67,8.57
mecca,0.0,SA,1635111139.0,63.0,21.4267,39.8261,79.86,2.3
puerto escondido,40.0,MX,1635111139.0,62.0,15.85,-97.0667,86.83,6.91
gawler,0.0,AU,1635111017.0,70.0,-34.6,138.7333,54.25,9.33
kodiak,90.0,US,1635110865.0,71.0,57.79,-152.4072,49.51,6.91
mehamn,84.0,NO,1635111140.0,78.0,71.0357,27.8492,26.51,6.71
bredasdorp,0.0,ZA,1635111141.0,81.0,-34.5322,20.0403,49.32,4.61
dakar,0.0,SN,1635110954.0,78.0,14.6937,-17.4441,81.48,0.0
awjilah,6.0,LY,1635111141.0,30.0,29.1081,21.2869,74.97,11.83
pisco,0.0,PE,1635110875.0,64.0,-13.7,-76.2167,68.05,23.02
alexandria,0.0,EG,1635111142.0,65.0,31.2156,29.9553,71.37,9.1
fuling,28.0,CN,1635111143.0,79.0,29.7022,107.3919,58.26,3.04
kahului,40.0,US,1635110937.0,69.0,20.8947,-156.47,86.02,17.27
port hardy,90.0,CA,1635111143.0,87.0,50.6996,-127.4199,53.6,12.66
kruisfontein,0.0,ZA,1635111056.0,81.0,-34.0033,24.7314,51.89,3.11
taga,4.0,RO,1635111144.0,69.0,46.95,24.05,34.32,1.21
ternate,70.0,ID,1635111055.0,80.0,0.8,127.4,79.93,4.85
adrar,22.0,MR,1635111144.0,22.0,20.5022,-10.0711,84.18,7.07
santa maria,0.0,BR,1635111034.0,35.0,-29.6842,-53.8069,72.7,2.3
mogadishu,24.0,SO,1635110802.0,80.0,2.0371,45.3438,79.74,14.07
labuhan,21.0,ID,1635110813.0,82.0,-6.8844,112.2051,78.19,11.16
yulara,0.0,AU,1635110963.0,51.0,-25.2406,130.9889,60.64,9.22
vallenar,0.0,CL,1635111016.0,25.0,-28.5708,-70.7581,79.86,5.59
barra do garcas,100.0,BR,1635111146.0,89.0,-15.89,-52.2567,70.32,8.3
atuona,2.0,PF,1635110579.0,71.0,-9.8,-139.0333,77.94,18.12
rio gallegos,40.0,AR,1635111057.0,27.0,-51.6226,-69.2181,48.25,37.98
mahon,40.0,ES,1635111147.0,94.0,39.8885,4.2658,64.96,6.91
kodinsk,100.0,RU,1635111147.0,89.0,58.6881,99.1844,38.41,11.39
uppsala,75.0,SE,1635111148.0,79.0,60.0,17.75,49.78,14.97
fare,100.0,PF,1635111148.0,90.0,-16.7,-151.0167,75.29,6.51
bethel,90.0,US,1635110871.0,71.0,41.3712,-73.414,57.07,5.75
buin,0.0,CL,1635111149.0,17.0,-33.7333,-70.75,86.32,6.02
manturovo,100.0,RU,1635111150.0,82.0,58.3353,44.7619,31.64,11.16
alofi,65.0,NU,1635111150.0,54.0,-19.0595,-169.9187,80.49,18.41
luderitz,0.0,NA,1635110818.0,67.0,-26.6481,15.1594,60.04,7.92
hasaki,41.0,JP,1635111151.0,52.0,35.7333,140.8333,48.6,7.43
haines junction,10.0,CA,1635111036.0,75.0,60.7522,-137.5108,33.75,2.3
husavik,100.0,IS,1635110817.0,97.0,66.0449,-17.3389,39.11,13.91
saskylakh,67.0,RU,1635110743.0,100.0,71.9167,114.0833,-13.94,4.03
selma,98.0,US,1635111152.0,59.0,36.5708,-119.6121,72.73,11.03
ponta do sol,98.0,PT,1635110799.0,72.0,32.6667,-17.1,71.71,6.44
kjopsvik,100.0,NO,1635111153.0,94.0,68.097,16.3742,39.16,9.01
patacamaya,99.0,BO,1635111153.0,35.0,-17.2333,-67.9167,57.56,8.32
am timan,56.0,TD,1635111154.0,55.0,11.0297,20.2827,80.67,2.44
east london,64.0,ZA,1635110733.0,74.0,-33.0153,27.9116,61.07,11.92
poitiers,0.0,FR,1635111028.0,55.0,46.5833,0.3333,50.68,3.44
klaksvik,98.0,FO,1635110789.0,91.0,62.2266,-6.589,50.92,24.47
russell,75.0,US,1635111160.0,79.0,32.3502,-85.1999,74.8,0.0
smithers,75.0,CA,1635111161.0,80.0,54.7804,-127.1743,35.92,3.44
avera,94.0,US,1635111161.0,50.0,33.194,-82.5271,78.67,4.56
barranca,27.0,PE,1635111162.0,78.0,-10.75,-77.7667,64.27,11.52
becerril,99.0,CO,1635111162.0,85.0,9.7041,-73.2793,81.52,2.44
saint-leu,55.0,RE,1635111162.0,89.0,-21.15,55.2833,73.96,6.33
salalah,0.0,OM,1635110799.0,78.0,17.0151,54.0924,75.29,4.61
san vicente,1.0,AR,1635110809.0,61.0,-26.6167,-54.1333,64.45,5.21
axim,44.0,GH,1635111064.0,86.0,4.8699,-2.2405,77.83,5.73
san patricio,0.0,US,1635110828.0,45.0,28.017,-97.5169,92.12,9.98
nanortalik,100.0,GL,1635111164.0,97.0,60.1432,-45.2371,32.83,4.21
kralendijk,40.0,BQ,1635111016.0,66.0,12.15,-68.2667,85.98,19.57
khalkhal,0.0,IR,1635111165.0,56.0,37.6189,48.5258,45.46,3.4
sorland,100.0,NO,1635111050.0,96.0,67.667,12.6934,44.87,21.94
hwange,38.0,ZW,1635111166.0,42.0,-18.3693,26.5019,79.74,8.23
puerto del rosario,20.0,ES,1635111166.0,73.0,28.5004,-13.8627,71.35,10.36
hofn,100.0,IS,1635111167.0,87.0,64.2539,-15.2082,42.19,18.14
san quintin,20.0,MX,1635110859.0,66.0,30.4833,-115.95,67.69,16.8
vidim,100.0,RU,1635111167.0,95.0,56.4088,103.1106,37.31,12.15
severo-kurilsk,51.0,RU,1635110626.0,76.0,50.6789,156.125,38.82,19.77
along,11.0,IN,1635111168.0,87.0,28.1667,94.7667,60.67,1.88
tuatapere,98.0,NZ,1635110784.0,89.0,-46.1333,167.6833,57.33,2.86
clyde river,70.0,CA,1635111169.0,80.0,70.4692,-68.5914,11.93,4.41
ipojuca,91.0,BR,1635110876.0,75.0,-8.3989,-35.0639,82.31,6.91
sedro-woolley,75.0,US,1635111169.0,84.0,48.5039,-122.2361,56.77,1.01
san cristobal,77.0,VE,1635110824.0,57.0,7.7669,-72.225,75.38,3.13
tigil,93.0,RU,1635111170.0,98.0,57.8,158.6667,21.88,4.18
nikolskoye,81.0,RU,1635110828.0,82.0,59.7035,30.7861,34.02,5.08
belaya gora,100.0,RU,1635111171.0,98.0,68.5333,146.4167,-0.85,0.18
kalmunai,100.0,LK,1635110898.0,85.0,7.4167,81.8167,77.83,5.17
otane,88.0,NZ,1635111171.0,72.0,-39.8833,176.6333,64.53,5.08
inta,100.0,RU,1635111172.0,96.0,66.0317,60.1659,24.64,9.24
vila franca do campo,0.0,PT,1635111172.0,77.0,37.7167,-25.4333,63.01,5.99
yanam,89.0,IN,1635111173.0,76.0,16.7333,82.2167,74.61,4.14
hualmay,19.0,PE,1635111173.0,76.0,-11.0964,-77.6139,65.52,11.43
kieta,83.0,PG,1635111174.0,67.0,-6.2167,155.6333,83.53,1.1
antofagasta,27.0,CL,1635110858.0,73.0,-23.65,-70.4,60.08,6.13
norman wells,90.0,CA,1635111174.0,93.0,65.282,-126.8329,23.04,4.61
panama city,20.0,PA,1635111175.0,70.0,8.9936,-79.5197,88.18,4.61
zhigansk,97.0,RU,1635111023.0,96.0,66.7697,123.3711,19.17,5.66
popondetta,56.0,PG,1635111176.0,61.0,-8.7537,148.2534,83.48,0.78
repnoye,99.0,RU,1635111176.0,85.0,51.5921,43.1861,37.85,13.6
yarada,75.0,IN,1635111177.0,94.0,17.65,83.2667,77.32,2.3
baker city,90.0,US,1635111177.0,93.0,44.7749,-117.8344,50.83,19.57
deqing,27.0,CN,1635111178.0,86.0,30.5448,119.9599,55.36,1.81
yatou,0.0,CN,1635111178.0,82.0,37.15,122.3833,51.03,3.36
otradnoye,86.0,RU,1635111179.0,80.0,59.7775,30.8181,35.04,5.73
excelsior springs,74.0,US,1635111179.0,84.0,39.3392,-94.2261,71.58,24.0
kelheim,1.0,DE,1635111180.0,87.0,48.9167,11.8667,39.25,3.06
fairbanks,90.0,US,1635110810.0,89.0,64.8378,-147.7164,28.22,3.44
cortes,0.0,ES,1635110972.0,36.0,41.9395,-1.4396,55.6,1.99
sinnamary,100.0,GF,1635111180.0,90.0,5.3833,-52.95,78.55,10.04
sinjar,2.0,IQ,1635111181.0,18.0,36.3209,41.8754,65.48,7.78
chunskiy,100.0,RU,1635111182.0,80.0,56.0815,99.6342,40.57,12.8
lagoa,14.0,PT,1635110787.0,73.0,39.05,-27.9833,65.97,10.98
porbandar,0.0,IN,1635111174.0,60.0,21.6422,69.6093,78.42,6.76
ormara,0.0,PK,1635111183.0,58.0,25.2088,64.6357,77.05,5.59
trincomalee,100.0,LK,1635110859.0,83.0,8.5711,81.2335,78.46,5.14
medford,90.0,US,1635110864.0,87.0,42.3265,-122.8756,54.72,1.01
salihli,37.0,TR,1635111184.0,88.0,38.4826,28.1477,54.19,2.55
prabumulih,79.0,ID,1635111184.0,98.0,-3.45,104.25,73.4,2.66
olafsvik,100.0,IS,1635110796.0,88.0,64.8945,-23.7142,41.85,20.65
mayo,1.0,US,1635111021.0,74.0,38.8876,-76.5119,71.38,8.99
hokitika,95.0,NZ,1635111185.0,83.0,-42.7167,170.9667,60.58,5.97
san lazaro,93.0,BZ,1635111186.0,78.0,18.0387,-88.6622,87.58,7.7
talara,0.0,PE,1635111186.0,73.0,-4.5772,-81.2719,72.36,13.8
mount pleasant,1.0,US,1635111187.0,75.0,32.7941,-79.8626,78.94,4.0
iquitos,40.0,PE,1635111187.0,55.0,-3.7481,-73.2472,93.24,5.75
rio grande,0.0,BR,1635111188.0,62.0,-32.035,-52.0986,73.51,4.12
deep river,99.0,CA,1635111188.0,83.0,46.1001,-77.4995,51.55,2.13
luau,100.0,AO,1635111188.0,90.0,-10.7073,22.2247,67.78,1.61
provideniya,0.0,RU,1635110844.0,58.0,64.3833,-173.3,24.91,8.95
liuzhou,2.0,CN,1635111189.0,68.0,24.3126,109.3892,58.57,6.22
dutlwe,0.0,BW,1635111190.0,19.0,-23.9833,23.9,68.54,11.14
taicheng,99.0,CN,1635111190.0,65.0,38.731,113.228,43.9,2.51
bluefields,40.0,NI,1635111190.0,79.0,12.0137,-83.7635,84.27,4.61
tual,97.0,ID,1635111191.0,77.0,-5.6667,132.75,81.43,4.92
victoria,25.0,HK,1635110298.0,73.0,22.2855,114.1577,69.33,1.99
valdivia,100.0,CL,1635111008.0,97.0,-39.8142,-73.2459,55.49,4.21
cayenne,90.0,GF,1635111004.0,87.0,4.9333,-52.3333,82.44,4.0
fortuna,20.0,US,1635110724.0,73.0,40.5982,-124.1573,57.92,5.01
makakilo city,75.0,US,1635111027.0,61.0,21.3469,-158.0858,80.92,6.91
irtyshskiy,100.0,RU,1635111192.0,98.0,58.3333,68.1333,37.56,5.08
pevek,100.0,RU,1635111193.0,93.0,69.7008,170.3133,6.39,4.03
fukue,100.0,JP,1635111194.0,60.0,32.6881,128.8419,63.21,2.1
the pas,90.0,CA,1635111194.0,75.0,53.8251,-101.2541,39.22,11.5
khujner,87.0,IN,1635111200.0,60.0,23.7833,76.6,71.47,2.82
srednekolymsk,100.0,RU,1635110845.0,94.0,67.45,153.6833,-5.42,1.81
