City,Cloudiness,Country,Date,Humidity,Lat.,Long.,Max Temp,Wind Speed
erenhot,96.0,CN,1635111200.0,36.0,43.6475,111.9767,44.1,10.8
norrtalje,99.0,SE,1635111201.0,82.0,59.758,18.705,51.03,14.63
teya,100.0,RU,1635111201.0,87.0,60.3778,92.6267,36.27,10.27
naron,43.0,ES,1635111202.0,91.0,43.5167,-8.1528,60.6,5.59
torbay,75.0,CA,1635110851.0,88.0,47.6666,-52.7314,55.67,23.02
emerald,74.0,AU,1635111202.0,64.0,-23.5333,148.1667,75.34,0.0
boysun,0.0,UZ,1635111203.0,15.0,38.2061,67.1986,48.81,2.82
beringovskiy,50.0,RU,1635110754.0,86.0,63.05,179.3167,8.62,7.56
mossendjo,94.0,CG,1635111203.0,100.0,-2.9506,12.7261,70.68,3.06
galesong,80.0,ID,1635111204.0,77.0,-5.3166,119.3661,75.22,5.28
bria,88.0,CF,1635111205.0,94.0,6.5423,21.9863,70.34,2.66
hirara,17.0,JP,1635110621.0,68.0,24.8,125.2833,76.95,13.56
sabang,100.0,ID,1635111205.0,77.0,5.8933,95.3214,80.37,10.25
rincon,90.0,US,1635111206.0,68.0,32.296,-81.2354,79.25,6.91
trzcianka,81.0,PL,1635111206.0,79.0,53.0406,16.4563,39.78,7.56
coquimbo,0.0,CL,1635111026.0,67.0,-29.9533,-71.3436,64.13,12.66
calvinia,0.0,ZA,1635111207.0,35.0,-31.4707,19.776,58.59,8.1
korla,0.0,CN,1635111207.0,41.0,41.7597,86.1469,46.26,3.78
marawi,68.0,PH,1635111208.0,88.0,7.9986,124.2928,65.64,2.77
guerrero negro,0.0,MX,1635111208.0,58.0,27.9769,-114.0611,70.54,15.57
san luis de gaceno,100.0,CO,1635111209.0,85.0,4.8205,-73.1685,79.41,0.43
sao felix do xingu,90.0,BR,1635111209.0,70.0,-6.6447,-51.995,80.15,2.77
sibu,40.0,MY,1635110831.0,94.0,2.3,111.8167,77.31,2.3
urucui,100.0,BR,1635111210.0,61.0,-7.2294,-44.5561,84.2,3.53
sakakah,0.0,SA,1635111210.0,30.0,29.9697,40.2064,65.77,5.7
bronnoysund,75.0,NO,1635111211.0,84.0,65.4625,12.1997,50.41,17.27
lasa,58.0,IT,1635111211.0,36.0,46.6166,10.7002,53.06,2.68
arlit,0.0,NE,1635111212.0,11.0,18.7369,7.3853,83.84,2.73
port lincoln,0.0,AU,1635111212.0,67.0,-34.7333,135.8667,55.31,14.7
amguri,1.0,IN,1635111212.0,91.0,26.8,94.5333,67.28,2.13
santa luzia,75.0,BR,1635111213.0,62.0,-19.7697,-43.8514,79.14,2.3
lompoc,90.0,US,1635110781.0,69.0,34.6391,-120.4579,71.74,10.36
tautira,100.0,PF,1635110841.0,90.0,-17.7333,-149.15,77.02,17.76
urumqi,0.0,CN,1635111214.0,70.0,43.801,87.6005,34.75,2.24
batagay-alyta,99.0,RU,1635111214.0,93.0,67.8006,130.4114,2.68,2.62
komsomolskiy,0.0,UZ,1635111020.0,56.0,40.4272,71.7189,44.02,5.75
labrea,82.0,BR,1635111215.0,74.0,-7.2586,-64.7981,80.89,0.63
altay,13.0,CN,1635111216.0,59.0,47.8667,88.1167,30.69,4.74
ponta delgada,20.0,PT,1635111216.0,77.0,37.7333,-25.6667,63.32,6.91
loreto,74.0,MX,1635111216.0,24.0,22.2667,-101.9667,77.09,3.15
madras,75.0,IN,1635111046.0,94.0,13.0878,80.2785,78.78,4.61
krasnovishersk,100.0,RU,1635111217.0,97.0,60.4078,57.082,33.42,5.35
las choapas,60.0,MX,1635111062.0,75.0,17.9333,-94.0833,91.45,3.24
steinau,20.0,DE,1635111218.0,87.0,53.6833,8.8833,46.29,6.91
moron,0.0,AR,1635111218.0,23.0,-34.6534,-58.6198,76.75,4.85
raudeberg,100.0,NO,1635111219.0,92.0,61.9875,5.1352,51.58,13.0
pochutla,89.0,MX,1635110821.0,64.0,15.7432,-96.4661,86.83,8.34
mount isa,96.0,AU,1635111065.0,57.0,-20.7333,139.5,76.77,4.61
moura,66.0,PT,1635111220.0,41.0,38.1401,-7.4486,59.11,5.1
akdepe,81.0,TM,1635111221.0,28.0,42.0551,59.3788,44.6,2.26
severnoye,100.0,RU,1635111221.0,87.0,56.3491,78.3619,46.53,14.23
sarakhs,1.0,IR,1635111222.0,43.0,36.5449,61.1577,53.74,4.61
ancud,86.0,CL,1635111222.0,86.0,-41.8697,-73.8203,56.43,16.75
kutum,2.0,SD,1635110837.0,24.0,14.2,24.6667,76.53,13.49
imeni poliny osipenko,28.0,RU,1635111223.0,96.0,52.4201,136.4853,28.56,4.76
sao filipe,44.0,CV,1635111223.0,72.0,14.8961,-24.4956,78.44,10.51
lorengau,80.0,PG,1635110855.0,82.0,-2.0226,147.2712,80.85,7.56
phuntsholing,6.0,BT,1635111224.0,71.0,26.8516,89.3884,68.02,5.99
caravelas,2.0,BR,1635111225.0,86.0,-17.7125,-39.2481,77.36,10.45
marneuli,23.0,GE,1635111225.0,50.0,41.4759,44.8089,50.74,3.65
hamilton,20.0,US,1635110582.0,90.0,39.1834,-84.5333,74.98,1.99
arinos,97.0,BR,1635111226.0,69.0,-15.9169,-46.1056,77.88,1.19
soubre,93.0,CI,1635111226.0,98.0,5.7856,-6.6083,73.08,2.21
aklavik,82.0,CA,1635111227.0,93.0,68.2191,-135.0107,23.83,2.89
mpraeso,100.0,GH,1635111227.0,97.0,6.5932,-0.7346,70.21,2.66
baglung,0.0,NP,1635111228.0,80.0,28.2719,83.5898,56.28,6.15
cuiluan,18.0,CN,1635111229.0,87.0,47.72,128.648,33.98,4.16
thunder bay,75.0,CA,1635111185.0,55.0,48.4001,-89.3168,46.38,3.44
mahebourg,40.0,MU,1635110827.0,78.0,-20.4081,57.7,74.25,11.5
makokou,74.0,GA,1635111229.0,98.0,0.5738,12.8642,70.32,1.3
kiama,8.0,AU,1635110776.0,81.0,-34.6833,150.8667,60.01,3.38
bambanglipuro,88.0,ID,1635111230.0,83.0,-7.95,110.2833,77.79,5.5
gambela,69.0,ET,1635111230.0,54.0,8.25,34.5833,77.99,4.54
suntar,100.0,RU,1635111231.0,97.0,62.1444,117.6319,34.68,7.52
comodoro rivadavia,100.0,AR,1635111231.0,32.0,-45.8667,-67.5,67.86,56.39
marquette,88.0,US,1635111232.0,72.0,46.5333,-87.6335,43.77,9.42
mao,40.0,ES,1635111003.0,94.0,39.8885,4.2658,64.96,6.91
soc trang,100.0,VN,1635111232.0,92.0,9.6033,105.98,75.16,4.09
bandarbeyla,21.0,SO,1635110752.0,77.0,9.4942,50.8122,78.4,6.89
ohafia,64.0,NG,1635111233.0,90.0,5.6167,7.8333,74.23,2.62
sangar,100.0,RU,1635111056.0,96.0,63.9242,127.4739,20.5,6.51
den helder,90.0,NL,1635111234.0,87.0,52.9599,4.7593,51.78,10.36
westport,90.0,US,1635111060.0,68.0,41.1415,-73.3579,59.09,1.99
kashan,0.0,IR,1635111235.0,28.0,33.9831,51.4364,60.39,2.28
napanee,85.0,CA,1635111017.0,72.0,44.2501,-76.9494,53.64,2.89
piranhas,97.0,BR,1635111235.0,90.0,-16.4269,-51.8222,72.45,17.07
mongo,31.0,TD,1635111236.0,32.0,12.1844,18.693,86.36,2.98
iqaluit,90.0,CA,1635111236.0,92.0,63.7506,-68.5145,29.93,5.99
menongue,41.0,AO,1635111242.0,62.0,-14.6585,17.691,70.83,5.57
mizdah,0.0,LY,1635111242.0,60.0,31.4451,12.9801,68.52,1.32
mazagao,26.0,BR,1635111243.0,75.0,-0.115,-51.2894,87.85,4.85
port blair,100.0,IN,1635110824.0,81.0,11.6667,92.75,80.08,4.79
tema,20.0,GH,1635111243.0,89.0,5.667,-0.0166,79.21,5.75
ulkan,100.0,RU,1635111244.0,97.0,57.243,107.3223,38.66,12.64
dingle,99.0,PH,1635111244.0,92.0,10.9995,122.6711,75.47,2.64
roma,75.0,US,1635111031.0,62.0,43.2128,-75.4557,57.06,3.44
taltal,23.0,CL,1635110685.0,69.0,-25.4,-70.4833,63.32,4.0
anadyr,75.0,RU,1635111245.0,85.0,64.75,177.4833,5.5,4.47
syriam,40.0,MM,1635111246.0,94.0,16.7722,96.2378,78.91,6.91
puerto leguizamo,100.0,CO,1635110875.0,75.0,-0.1934,-74.7819,82.92,2.1
gat,0.0,IL,1635110862.0,100.0,31.61,34.7642,70.48,3.8
didsbury,9.0,GB,1635111018.0,88.0,53.417,-2.2315,55.56,8.99
samarai,72.0,PG,1635111247.0,81.0,-10.6167,150.6667,81.25,11.83
margate,97.0,GB,1635111248.0,87.0,51.3813,1.3862,57.88,17.58
bilma,2.0,NE,1635111248.0,11.0,18.6853,12.9164,86.47,6.04
hovd,3.0,MN,1635111249.0,33.0,48.0056,91.6419,32.67,2.26
takoradi,34.0,GH,1635110957.0,85.0,4.8845,-1.7554,78.08,5.86
kikwit,65.0,CD,1635111249.0,86.0,-5.041,18.8162,73.47,2.15
terrace,75.0,CA,1635111250.0,57.0,54.5163,-128.6035,49.91,18.41
pires do rio,100.0,BR,1635111250.0,92.0,-17.2997,-48.2794,67.69,3.18
puerto penasco,40.0,MX,1635111003.0,73.0,31.3167,-113.5333,80.58,11.01
puerto carreno,100.0,CO,1635111251.0,69.0,6.189,-67.4859,84.51,5.82
sovetskiy,100.0,RU,1635111251.0,92.0,61.3614,63.5842,30.07,4.16
kosonsoy,0.0,UZ,1635111252.0,41.0,41.2561,71.5508,39.76,2.62
yar-sale,26.0,RU,1635111252.0,79.0,66.8333,70.8333,23.31,15.21
sabha,8.0,LY,1635111253.0,18.0,27.0377,14.4283,78.75,6.38
meulaboh,100.0,ID,1635110694.0,92.0,4.1363,96.1285,74.66,5.12
kyren,48.0,RU,1635110868.0,59.0,51.6828,102.1408,36.23,4.18
kiunga,100.0,PG,1635111254.0,94.0,-6.1219,141.2906,73.96,0.49
hohoe,64.0,GH,1635111254.0,93.0,7.1518,0.4736,74.68,2.62
morondava,0.0,MG,1635111255.0,67.0,-20.2833,44.2833,72.12,6.85
santo amaro da imperatriz,30.0,BR,1635111255.0,85.0,-27.6881,-48.7786,71.82,2.84
yumen,100.0,CN,1635111039.0,35.0,40.2833,97.2,44.82,14.2
manali,100.0,IN,1635111256.0,76.0,13.1667,80.2667,78.89,7.7
burgeo,100.0,CA,1635111256.0,90.0,47.6167,-57.6152,51.08,31.05
waitara,100.0,NZ,1635111257.0,92.0,-38.925,174.25,61.72,11.65
carutapera,6.0,BR,1635111257.0,79.0,-1.195,-46.02,81.09,10.51
cap-aux-meules,90.0,CA,1635110965.0,87.0,47.3821,-61.8597,50.05,20.71
krasnoselkup,98.0,RU,1635111258.0,90.0,65.7,82.4667,24.82,21.32
poum,41.0,NC,1635110778.0,76.0,-20.2333,164.0167,74.8,10.49
springdale,40.0,US,1635111146.0,78.0,36.1867,-94.1288,74.57,17.0
ballina,90.0,AU,1635111259.0,89.0,-28.8667,153.5667,68.04,0.0
vila,99.0,PT,1635110795.0,92.0,42.0304,-8.1588,51.93,1.07
vao,12.0,NC,1635111057.0,70.0,-22.6667,167.4833,70.57,13.29
leningradskiy,100.0,RU,1635111260.0,91.0,69.3833,178.4167,8.08,6.71
saint-pierre,75.0,RE,1635111260.0,76.0,-21.3393,55.4781,74.57,6.91
karaman,3.0,TR,1635111261.0,67.0,37.0833,33.25,46.36,7.58
hurricane,100.0,US,1635111261.0,31.0,37.1753,-113.2899,71.71,12.57
sobolevo,29.0,RU,1635111261.0,87.0,54.4299,31.8996,29.12,5.44
ishinomaki,17.0,JP,1635111262.0,77.0,38.4167,141.3,44.6,3.4
waipawa,100.0,NZ,1635110811.0,84.0,-41.4122,175.5153,58.46,7.0
oksfjord,100.0,NO,1635111263.0,87.0,70.2396,22.3479,29.32,12.66
karpathos,24.0,GR,1635111263.0,78.0,35.507,27.2132,69.76,24.16
la tuque,50.0,CA,1635111264.0,57.0,47.4334,-72.7824,48.45,4.61
humboldt,100.0,US,1635111264.0,91.0,40.6665,-123.9178,49.55,6.31
trairi,1.0,BR,1635111016.0,70.0,-3.2778,-39.2689,80.78,10.42
lermontovka,4.0,RU,1635111265.0,80.0,47.1453,134.3383,35.76,5.48
kavaratti,21.0,IN,1635110773.0,76.0,10.5669,72.642,81.34,6.58
khonsa,5.0,IN,1635111266.0,90.0,27.0167,95.5667,60.24,3.33
salinopolis,4.0,BR,1635111227.0,80.0,-0.6136,-47.3561,80.85,10.18
west wendover,90.0,US,1635111266.0,81.0,40.7391,-114.0733,47.41,5.75
nacala,10.0,MZ,1635111267.0,91.0,-14.5428,40.6728,76.91,8.32
gamboma,36.0,CG,1635111267.0,91.0,-1.8764,15.8644,73.26,2.08
ebeltoft,55.0,DK,1635111268.0,87.0,56.1944,10.6821,46.42,3.44
dawson creek,90.0,CA,1635111268.0,100.0,55.7666,-120.2362,40.35,6.91
khani,80.0,GE,1635111269.0,90.0,41.9563,42.9566,44.17,2.01
mahibadhoo,21.0,MV,1635111269.0,74.0,3.7833,72.9667,82.72,15.97
andros town,92.0,BS,1635111270.0,70.0,24.7,-77.7667,82.36,13.29
abha,0.0,SA,1635110746.0,77.0,18.2164,42.5053,57.45,4.61
constitucion,3.0,CL,1635110681.0,68.0,-35.3333,-72.4167,62.53,18.7
lumeje,100.0,AO,1635111271.0,92.0,-11.55,20.7833,66.54,7.18
matara,100.0,LK,1635111271.0,90.0,5.9485,80.5353,76.68,7.11
conceicao do araguaia,92.0,BR,1635111032.0,57.0,-8.2578,-49.2647,84.74,3.67
kashin,24.0,RU,1635111272.0,87.0,57.3592,37.6081,29.17,9.46
parrita,37.0,CR,1635111272.0,82.0,9.5201,-84.3225,88.52,4.23
tucuman,0.0,AR,1635111273.0,18.0,-26.8241,-65.2226,87.8,18.41
afsin,3.0,TR,1635111273.0,28.0,38.2477,36.914,48.09,2.15
washington,100.0,US,1635111227.0,88.0,47.5001,-120.5015,49.53,1.63
gaoual,80.0,GN,1635111274.0,84.0,11.75,-13.2,78.12,3.04
vardo,66.0,NO,1635110869.0,53.0,70.3705,31.1107,28.6,8.66
severnyy,0.0,RU,1635111275.0,75.0,50.677,36.5532,39.24,6.71
iquique,32.0,CL,1635111068.0,72.0,-20.2208,-70.1431,64.44,2.17
luangwa,9.0,ZM,1635111275.0,30.0,-15.6167,30.4167,83.03,4.23
spearfish,1.0,US,1635111276.0,42.0,44.4908,-103.8594,60.12,1.01
qui nhon,100.0,VN,1635111244.0,88.0,13.7667,109.2333,77.67,18.19
umkomaas,100.0,ZA,1635111276.0,78.0,-30.2067,30.7978,60.6,3.18
half moon bay,90.0,US,1635111277.0,93.0,37.4636,-122.4286,64.63,11.01
biloela,66.0,AU,1635111277.0,49.0,-24.4167,150.5,80.69,3.18
gamba,100.0,GA,1635110776.0,88.0,-2.65,10.0,77.13,4.07
quatre cocos,85.0,MU,1635111278.0,72.0,-20.2078,57.7625,74.08,13.24
walvis bay,0.0,NA,1635111229.0,88.0,-22.9575,14.5053,60.1,4.61
dezful,0.0,IR,1635111279.0,21.0,32.3811,48.4058,72.07,2.39
christchurch,90.0,NZ,1635111098.0,76.0,-43.5333,172.6333,66.9,5.01
kaeo,5.0,NZ,1635111284.0,81.0,-35.1,173.7833,69.33,1.54
hindoria,4.0,IN,1635111285.0,57.0,23.9,79.5667,67.87,3.62
bakchar,100.0,RU,1635111285.0,92.0,57.0186,82.0711,43.74,5.59
tuscaloosa,1.0,US,1635111123.0,71.0,33.2098,-87.5692,71.85,6.91
vestmannaeyjar,100.0,IS,1635111286.0,91.0,63.4427,-20.2734,45.19,6.08
ambovombe,17.0,MG,1635111286.0,94.0,-25.1667,46.0833,71.02,7.07
kirovskiy,0.0,RU,1635111287.0,70.0,45.0917,133.5136,37.53,5.1
saulkrasti,96.0,LV,1635111288.0,88.0,57.2622,24.4147,42.75,13.98
amos,99.0,CA,1635111288.0,83.0,48.5669,-78.1162,43.07,1.54
badiraguato,0.0,MX,1635111289.0,34.0,25.3667,-107.5167,93.7,4.07
tsiroanomandidy,54.0,MG,1635111289.0,36.0,-18.7667,46.0333,72.9,2.06
naze,93.0,JP,1635111044.0,70.0,28.3667,129.4833,71.35,10.83
nyurba,100.0,RU,1635111290.0,96.0,63.2842,118.3319,32.74,6.91
cedar city,1.0,US,1635111290.0,36.0,37.6775,-113.0619,59.97,21.85
la ronge,75.0,CA,1635111018.0,70.0,55.1001,-105.2842,41.25,16.11
narsaq,100.0,GL,1635111291.0,75.0,60.9167,-46.05,32.22,4.74
erzin,2.0,TR,1635111291.0,76.0,36.9559,36.2,66.92,1.83
karratha,1.0,AU,1635111034.0,57.0,-20.7377,116.8463,74.95,9.98
sri aman,48.0,MY,1635111292.0,94.0,1.2376,111.4621,77.09,0.0
college,90.0,US,1635111292.0,89.0,64.8569,-147.8028,28.2,3.44
nicoya,74.0,CR,1635111293.0,83.0,10.1483,-85.452,80.15,1.12
price,20.0,US,1635111293.0,58.0,39.5994,-110.8107,57.72,4.61
zhireken,16.0,RU,1635111294.0,90.0,52.8249,117.3076,28.06,3.56
korem,39.0,ET,1635111294.0,53.0,12.5058,39.5228,54.46,3.04
panzhihua,100.0,CN,1635111295.0,88.0,26.5851,101.7128,64.69,1.05
alta floresta,82.0,BR,1635111295.0,64.0,-9.8756,-56.0861,81.23,2.46
patrasaer,98.0,IN,1635111296.0,78.0,23.2167,87.5167,75.29,2.42
najran,8.0,SA,1635111296.0,24.0,17.4924,44.1277,63.25,2.46
santa isabel do rio negro,98.0,BR,1635111297.0,81.0,-0.4139,-65.0192,79.45,1.83
mahajanga,40.0,MG,1635111297.0,88.0,-15.7167,46.3167,75.22,3.44
egvekinot,27.0,RU,1635111298.0,86.0,66.3167,-179.1667,5.2,5.93
ambulu,91.0,ID,1635111298.0,76.0,-8.345,113.6058,77.13,0.98
porto de moz,81.0,BR,1635111299.0,67.0,-1.7483,-52.2383,80.94,2.53
chumikan,91.0,RU,1635111299.0,86.0,54.7183,135.315,34.38,15.01
lafiagi,65.0,NG,1635111300.0,75.0,8.8667,5.4167,79.43,1.95
coahuayana,99.0,MX,1635111300.0,70.0,18.7333,-103.6833,89.08,5.03
merida,75.0,MX,1635111023.0,55.0,20.9667,-89.6167,93.22,6.91
nouadhibou,85.0,MR,1635111256.0,68.0,20.931,-17.0347,71.58,16.11
jalu,20.0,LY,1635111301.0,31.0,29.0331,21.5482,74.37,11.41
bereda,7.0,ES,1635111302.0,100.0,43.2686,-7.5406,55.92,1.7
belmonte,39.0,BR,1635111303.0,88.0,-15.8631,-38.8828,79.3,8.75
laguna,90.0,US,1635111035.0,95.0,38.421,-121.4238,63.46,3.0
asuncion nochixtlan,31.0,MX,1635111304.0,53.0,17.4667,-97.2333,70.29,7.96
benghazi,100.0,LY,1635111305.0,43.0,32.1167,20.0667,78.04,9.82
kawalu,99.0,ID,1635111102.0,96.0,-7.3817,108.2082,73.13,2.28
havre-saint-pierre,90.0,CA,1635111306.0,93.0,50.2334,-63.5986,48.2,6.91
izumo,75.0,JP,1635111306.0,87.0,35.3667,132.7667,49.95,6.91
esmeralda,100.0,CU,1635111307.0,81.0,21.8525,-78.1169,88.84,7.63
tortoli,90.0,IT,1635111308.0,88.0,39.9256,9.6572,63.99,31.07
isangel,14.0,VU,1635111248.0,69.0,-19.55,169.2667,80.71,5.75
phuket,20.0,TH,1635110797.0,94.0,8.0,98.25,84.09,2.3
la asuncion,36.0,VE,1635111309.0,78.0,11.0333,-63.8628,80.37,16.64
thinadhoo,87.0,MV,1635111310.0,70.0,0.5333,72.9333,82.94,15.05
buta,100.0,CD,1635111310.0,99.0,2.7858,24.73,69.4,0.54
cehegin,1.0,ES,1635111311.0,85.0,38.0924,-1.7985,59.16,2.68
lavrentiya,100.0,RU,1635110749.0,86.0,65.5833,-171.0,21.99,11.12
inuvik,75.0,CA,1635111312.0,96.0,68.3499,-133.7218,24.01,1.14
ganzhou,31.0,CN,1635111312.0,76.0,28.8184,115.4327,54.23,3.56
dengzhou,1.0,CN,1635111312.0,53.0,37.8086,120.7508,52.59,7.25
igrim,100.0,RU,1635111313.0,89.0,63.1906,64.4162,28.02,1.12
ilulissat,75.0,GL,1635110808.0,58.0,69.2167,-51.1,21.22,17.27
beisfjord,100.0,NO,1635111314.0,90.0,68.3751,17.5988,38.25,7.52
helong,0.0,CN,1635111315.0,66.0,42.5397,128.9972,36.82,4.63
natal,20.0,BR,1635110852.0,78.0,-5.795,-35.2094,81.25,11.5
athabasca,60.0,CA,1635111315.0,70.0,54.7169,-113.2854,51.62,10.07
owando,99.0,CG,1635111316.0,95.0,-0.4819,15.8999,72.03,2.04
mosquera,75.0,CO,1635111316.0,88.0,4.7059,-74.2302,59.09,9.22
camacha,40.0,PT,1635111032.0,56.0,33.0833,-16.3333,67.42,12.66
filadelfia,75.0,US,1635111103.0,66.0,39.9523,-75.1638,62.49,1.01
asyut,0.0,EG,1635111317.0,48.0,27.181,31.1837,68.77,9.01
areka,90.0,ET,1635111317.0,52.0,7.0667,37.7,64.0,5.12
idrinskoye,100.0,RU,1635111318.0,89.0,54.3708,92.1358,42.3,7.29
marsh harbour,93.0,BS,1635111318.0,75.0,26.5412,-77.0636,81.07,10.33
copiapo,0.0,CL,1635111319.0,32.0,-27.3667,-70.3333,56.89,6.17
kushiro,0.0,JP,1635111319.0,82.0,42.975,144.3747,45.05,2.44
belogorsk,0.0,RU,1635111320.0,80.0,50.9158,128.4611,34.84,7.45
igarka,100.0,RU,1635111320.0,93.0,67.4667,86.5833,25.48,13.71
morant bay,31.0,JM,1635111321.0,79.0,17.8815,-76.4093,85.62,10.76
lazaro cardenas,100.0,MX,1635111321.0,89.0,17.9583,-102.2,77.45,5.5
bandundu,75.0,CD,1635111322.0,89.0,-3.3167,17.3667,74.59,3.38
darovskoy,100.0,RU,1635111322.0,83.0,58.77,47.9564,31.37,10.65
atoka,99.0,US,1635111323.0,66.0,34.4001,-96.0169,84.18,13.96
san jeronimo,49.0,PE,1635111323.0,46.0,-11.9472,-75.2829,64.94,7.96
ejura,100.0,GH,1635111324.0,94.0,7.3856,-1.3562,73.87,3.67
saldanha,0.0,ZA,1635110835.0,77.0,-33.0117,17.9442,57.25,17.54
tura,12.0,IN,1635111191.0,96.0,25.5198,90.2201,66.81,2.39
hailar,7.0,CN,1635111325.0,58.0,49.2,119.7,32.68,6.51
ilhabela,100.0,BR,1635111267.0,93.0,-23.7781,-45.3581,69.82,8.32
robertsport,100.0,LR,1635111325.0,82.0,6.7533,-11.3686,79.77,8.97
altamira,0.0,BR,1635111331.0,89.0,-3.2033,-52.2064,82.49,0.0
